"name","race","sex","called","educ","exp","honors","volunteer","cvquality","city","fracblack","fracdropout","logincome"
"Keisha","Black","Female","No","College +",6,"No","No","Low","Chicago",0.454302966594696,0.248141512274742,9.291090965271
"Keisha","Black","Female","No","Highschool dropout",4,"No","Yes","High","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Kristen","White","Female","No","Some college",6,"No","Yes","High","Chicago",0.15995018184185,0.304798632860184,8.81031036376953
"Lakisha","Black","Female","No","Some college",7,"No","No","High","Chicago",0.051354181021452,0.0744308531284332,10.5600481033325
"Tamika","Black","Female","No","College +",2,"No","No","Low","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Allison","White","Female","No","Highschool",6,"No","No","Low","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Keisha","Black","Female","No","Some college",6,"No","No","Low","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Kristen","White","Female","No","Some college",9,"No","Yes","High","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Latonya","Black","Female","No","College +",6,"Yes","No","High","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Brad","White","Male","No","Highschool",4,"No","No","Low","Chicago",0.704645395278931,0.15066847205162,9.66820812225342
"Jill","White","Female","No","Some college",5,"No","Yes","High","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Keisha","Black","Female","No","College +",4,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Keisha","Black","Female","No","College +",3,"No","No","Low","Chicago",0.97707724571228,0.231248930096626,8.87933349609375
"Lakisha","Black","Female","No","Some college",4,"No","Yes","High","Chicago",0.217249035835266,0.197265401482582,9.42294883728027
"Laurie","White","Female","No","College +",5,"No","Yes","High","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Meredith","White","Female","No","College +",5,"Yes","No","Low","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Tyrone","Black","Male","No","College +",5,"No","Yes","High","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Anne","White","Female","No","College +",7,"No","Yes","High","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Emily","White","Female","No","College +",6,"No","No","Low","Chicago",0.102952741086483,0.230278670787811,9.38454532623291
"Latoya","Black","Female","No","College +",5,"No","No","Low","Chicago",0.0760194286704063,0.275277256965637,9.04180335998535
"Tamika","Black","Female","No","Some college",7,"No","Yes","High","Chicago",0.832138895988464,0.217792436480522,9.2406759262085
"Brad","White","Male","No","Not reported",4,"No","Yes","High","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Latoya","Black","Female","No","College +",5,"No","Yes","High","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Kristen","White","Female","No","College +",4,"No","No","Low","Chicago",0.102952741086483,0.230278670787811,9.38454532623291
"Latonya","Black","Female","No","College +",5,"No","No","High","Chicago",0.454302966594696,0.248141512274742,9.291090965271
"Latoya","Black","Female","No","College +",6,"No","No","Low","Chicago",0.832138895988464,0.217792436480522,9.2406759262085
"Laurie","White","Female","No","College +",6,"No","Yes","High","Chicago",0.0164866279810667,0.238195523619652,9.44683456420898
"Allison","White","Female","No","College +",13,"No","No","Low","Chicago",0.454302966594696,0.248141512274742,9.291090965271
"Ebony","Black","Female","No","College +",19,"Yes","No","Low","Chicago",0.0164866279810667,0.238195523619652,9.44683456420898
"Jay","White","Male","No","Highschool",5,"No","Yes","High","Chicago",0.15995018184185,0.304798632860184,8.81031036376953
"Keisha","Black","Female","No","College +",7,"No","No","High","Chicago",0.948766648769379,0.184819981455803,9.19125938415527
"Laurie","White","Female","No","College +",21,"No","No","High","Chicago",0.989495635032654,0.257409632205963,8.69767951965332
"Tyrone","Black","Male","No","Highschool",5,"No","Yes","High","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Anne","White","Female","No","College +",4,"No","No","Low","Chicago",0.971468806266785,0.170017540454865,9.32179260253906
"Lakisha","Black","Female","No","College +",5,"No","No","High","Chicago",0.00217499886639416,0.299457043409348,9.3661470413208
"Latonya","Black","Female","No","College +",6,"No","No","Low","Chicago",0.0523599646985531,0.130112111568451,9.74337768554688
"Meredith","White","Female","No","Some college",5,"No","Yes","High","Chicago",0.0523599646985531,0.130112111568451,9.74337768554688
"Allison","White","Female","No","Not reported",5,"No","Yes","High","Chicago",0.971468806266785,0.170017540454865,9.32179260253906
"Carrie","White","Female","No","College +",6,"No","No","Low","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Ebony","Black","Female","No","College +",6,"No","Yes","High","Chicago",0.832138895988464,0.217792436480522,9.2406759262085
"Kenya","Black","Female","No","College +",6,"No","No","Low","Chicago",0.116623893380165,0.139842763543129,9.93372535705566
"Lakisha","Black","Female","No","College +",6,"Yes","No","High","Chicago",0.992042720317841,0.295093417167664,8.50734519958496
"Laurie","White","Female","No","Some college",4,"No","Yes","High","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Aisha","Black","Female","No","College +",8,"No","Yes","High","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Anne","White","Female","No","College +",5,"No","No","Low","Chicago",0.0145169924944639,0.116202838718891,9.71866321563721
"Brendan","White","Male","No","College +",5,"No","Yes","High","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Hakim","Black","Male","No","Highschool dropout",5,"No","Yes","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Latoya","Black","Female","No","Some college",6,"No","No","Low","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Laurie","White","Female","No","College +",5,"No","No","Low","Chicago",0.954597353935242,0.197444409132004,9.30446815490723
"Laurie","White","Female","No","Some college",3,"No","Yes","High","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Leroy","Black","Male","No","College +",4,"No","No","Low","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Anne","White","Female","No","College +",12,"No","Yes","High","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Kenya","Black","Female","No","Some college",11,"No","Yes","High","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Latonya","Black","Female","No","College +",9,"Yes","No","Low","Chicago",0.971468806266785,0.170017540454865,9.32179260253906
"Meredith","White","Female","No","College +",10,"No","No","Low","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Jamal","Black","Male","No","College +",5,"No","No","Low","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Matthew","White","Male","No","College +",4,"No","Yes","High","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Neil","White","Male","No","College +",4,"No","No","Low","Chicago",0.948766648769379,0.184819981455803,9.19125938415527
"Tyrone","Black","Male","No","College +",3,"No","Yes","High","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Leroy","Black","Male","No","Highschool",4,"No","Yes","High","Chicago",0.704645395278931,0.15066847205162,9.66820812225342
"Todd","White","Male","Yes","Highschool",7,"No","Yes","High","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
"Brad","White","Male","No","Highschool dropout",3,"No","No","Low","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
"Ebony","Black","Female","No","College +",3,"No","No","Low","Chicago",0.0452748835086823,0.0308120734989643,11.0786600112915
"Jill","White","Female","No","College +",2,"No","No","Low","Chicago",0.102952741086483,0.230278670787811,9.38454532623291
"Kristen","White","Female","No","College +",4,"No","No","High","Chicago",0.0284571405500174,0.200196996331215,9.33794212341309
"Lakisha","Black","Female","No","College +",4,"Yes","Yes","High","Chicago",0.217249035835266,0.197265401482582,9.42294883728027
"Matthew","White","Male","No","College +",4,"No","Yes","High","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Tamika","Black","Female","No","College +",4,"No","No","High","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Tremayne","Black","Male","No","College +",2,"No","No","Low","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Aisha","Black","Female","No","College +",10,"No","Yes","High","Chicago",0.000904412940144539,0.127147987484932,10.074200630188
"Brett","White","Male","Yes","Highschool",4,"No","Yes","High","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Darnell","Black","Male","No","Highschool",5,"No","Yes","High","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Emily","White","Female","No","College +",11,"No","Yes","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Latonya","Black","Female","No","College +",3,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Sarah","White","Female","No","College +",2,"No","No","Low","Chicago",0.15995018184185,0.304798632860184,8.81031036376953
"Aisha","Black","Female","No","College +",7,"No","No","High","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Anne","White","Female","No","College +",7,"No","Yes","High","Chicago",0.992042720317841,0.295093417167664,8.50734519958496
"Jermaine","Black","Male","No","College +",4,"No","Yes","High","Chicago",0.0145169924944639,0.116202838718891,9.71866321563721
"Neil","White","Male","No","College +",4,"No","Yes","High","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Allison","White","Female","No","College +",4,"No","Yes","High","Chicago",0.954597353935242,0.197444409132004,9.30446815490723
"Anne","White","Female","Yes","College +",6,"Yes","Yes","High","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Keisha","Black","Female","No","College +",6,"No","Yes","High","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Latonya","Black","Female","Yes","College +",6,"No","Yes","High","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Latonya","Black","Female","No","College +",6,"No","Yes","High","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Laurie","White","Female","No","College +",6,"No","Yes","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Jay","White","Male","No","College +",6,"Yes","Yes","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Lakisha","Black","Female","No","College +",4,"No","Yes","High","Chicago",NA,NA,NA
"Anne","White","Female","No","Highschool",23,"No","Yes","Low","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Keisha","Black","Female","No","College +",5,"No","No","Low","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Kristen","White","Female","No","Some college",4,"No","No","High","Chicago",0.97707724571228,0.231248930096626,8.87933349609375
"Lakisha","Black","Female","No","College +",4,"Yes","No","High","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
"Allison","White","Female","No","Some college",5,"No","Yes","High","Chicago",0.0498218461871147,0.0982826873660088,10.2019987106323
"Ebony","Black","Female","No","Some college",5,"No","Yes","High","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Keisha","Black","Female","No","Some college",5,"No","No","Low","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Kristen","White","Female","No","Highschool",1,"No","Yes","Low","Chicago",0.116623893380165,0.139842763543129,9.93372535705566
"Lakisha","Black","Female","No","College +",5,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Meredith","White","Female","No","College +",5,"No","No","Low","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Allison","White","Female","No","College +",5,"No","No","Low","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Kristen","White","Female","No","College +",8,"No","No","High","Chicago",0.97707724571228,0.231248930096626,8.87933349609375
"Lakisha","Black","Female","No","Highschool",4,"No","No","Low","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
"Lakisha","Black","Female","No","College +",9,"No","Yes","High","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
"Tanisha","Black","Female","Yes","College +",9,"Yes","Yes","High","Chicago",0.102952741086483,0.230278670787811,9.38454532623291
"Todd","White","Male","Yes","Some college",5,"No","Yes","High","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Aisha","Black","Female","No","College +",6,"No","Yes","High","Chicago",0.0145169924944639,0.116202838718891,9.71866321563721
"Anne","White","Female","No","Some college",8,"No","No","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Jill","White","Female","No","College +",9,"No","No","Low","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Latoya","Black","Female","No","College +",9,"No","No","High","Chicago",NA,NA,NA
"Neil","White","Male","No","College +",5,"No","Yes","High","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Tamika","Black","Female","No","College +",10,"No","No","Low","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Anne","White","Female","No","College +",8,"No","No","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Geoffrey","White","Male","No","Highschool",6,"No","Yes","High","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Latoya","Black","Female","No","College +",5,"No","Yes","High","Chicago",NA,NA,NA
"Rasheed","Black","Male","No","Highschool",4,"No","Yes","High","Chicago",0.97707724571228,0.231248930096626,8.87933349609375
"Aisha","Black","Female","No","Some college",6,"No","No","Low","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Allison","White","Female","No","Some college",4,"No","Yes","High","Chicago",0.989495635032654,0.257409632205963,8.69767951965332
"Carrie","White","Female","No","Highschool",6,"No","No","Low","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Ebony","Black","Female","No","Not reported",4,"No","No","Low","Chicago",0.051354181021452,0.0744308531284332,10.5600481033325
"Kenya","Black","Female","No","Some college",5,"No","Yes","High","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Kristen","White","Female","No","College +",4,"No","No","Low","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Jermaine","Black","Male","No","Highschool",6,"No","No","Low","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Laurie","White","Female","No","Highschool",4,"No","No","Low","Chicago",0.971468806266785,0.170017540454865,9.32179260253906
"Allison","White","Female","No","Highschool",7,"No","Yes","Low","Chicago",0.989359557628632,0.274150967597961,8.70632457733154
"Kristen","White","Female","No","Some college",9,"No","No","High","Chicago",0.0807356685400009,0.233686774969101,9.53285884857178
"Lakisha","Black","Female","No","College +",7,"Yes","No","Low","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Latonya","Black","Female","No","Some college",8,"No","Yes","High","Chicago",0.336165100336075,0.108847863972187,10.4121408462524
"Brad","White","Male","No","College +",6,"No","No","Low","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Leroy","Black","Male","No","College +",9,"No","No","Low","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Emily","White","Female","No","Some college",12,"No","Yes","High","Chicago",0.0145169924944639,0.116202838718891,9.71866321563721
"Latonya","Black","Female","No","Highschool",6,"No","No","Low","Chicago",0.704645395278931,0.15066847205162,9.66820812225342
"Latoya","Black","Female","No","College +",5,"Yes","No","High","Chicago",0.198823526501656,0.139711424708366,9.64749813079834
"Laurie","White","Female","No","College +",7,"No","No","Low","Chicago",NA,NA,NA
"Aisha","Black","Female","No","College +",14,"No","No","High","Chicago",0.102952741086483,0.230278670787811,9.38454532623291
"Allison","White","Female","No","College +",12,"No","No","Low","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Ebony","Black","Female","No","College +",7,"No","No","High","Chicago",0.971468806266785,0.170017540454865,9.32179260253906
"Jermaine","Black","Male","No","Some college",3,"No","No","Low","Chicago",0.954597353935242,0.197444409132004,9.30446815490723
"Kristen","White","Female","No","Highschool",1,"No","No","Low","Chicago",NA,NA,NA
"Latonya","Black","Female","No","College +",5,"Yes","No","Low","Chicago",0.454302966594696,0.248141512274742,9.291090965271
"Laurie","White","Female","No","College +",21,"No","No","High","Chicago",0.102952741086483,0.230278670787811,9.38454532623291
"Laurie","White","Female","No","College +",2,"No","No","High","Chicago",0.0781422555446625,0.153909876942635,9.61065864562988
"Anne","White","Female","No","College +",7,"No","No","Low","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Brendan","White","Male","Yes","College +",10,"No","No","High","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Kareem","Black","Male","No","College +",10,"No","No","High","Chicago",0.0452748835086823,0.0308120734989643,11.0786600112915
"Keisha","Black","Female","No","Some college",7,"No","Yes","High","Chicago",0.0523599646985531,0.130112111568451,9.74337768554688
"Matthew","White","Male","Yes","College +",6,"No","No","Low","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Meredith","White","Female","No","College +",6,"Yes","No","High","Chicago",0.181469514966011,0.258002668619156,9.19156551361084
"Tanisha","Black","Female","No","Highschool",6,"No","No","Low","Chicago",0.00217499886639416,0.299457043409348,9.3661470413208
"Tanisha","Black","Female","Yes","Some college",11,"No","No","Low","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Aisha","Black","Female","No","College +",14,"No","Yes","High","Boston",0.0547352209687233,0.0156555771827698,9.32134532928467
"Allison","White","Female","No","College +",8,"No","No","Low","Boston",0.586862146854401,0.180472582578659,9.40062999725342
"Allison","White","Female","No","College +",18,"No","Yes","High","Boston",0.0902861058712006,0.080463707447052,10.5671033859253
"Anne","White","Female","No","College +",7,"No","No","Low","Boston",0.189535841345787,0.173128113150597,9.4743185043335
"Brendan","White","Male","No","Highschool",8,"Yes","No","Low","Boston",0.189535841345787,0.173128113150597,9.4743185043335
"Brett","White","Male","No","College +",26,"No","No","Low","Boston",0.189535841345787,0.173128113150597,9.4743185043335
"Brett","White","Male","No","College +",18,"No","Yes","High","Boston",0,0,11.0397491455078
"Brett","White","Male","No","College +",6,"No","Yes","High","Boston",0.0111534278839827,0.0296517945826054,10.8619174957275
"Ebony","Black","Female","No","College +",6,"No","No","Low","Boston",0.144843429327011,0.0688580796122551,9.64380931854248
"Geoffrey","White","Male","No","College +",26,"No","No","Low","Boston",0.0547352209687233,0.0156555771827698,9.32134532928467
"Jay","White","Male","No","College +",18,"No","Yes","High","Boston",0.0223919916898012,0.356164395809174,9.52098178863525
"Jill","White","Female","No","College +",18,"No","Yes","High","Boston",0.30346342921257,0.189628824591637,9.33414936065674
"Keisha","Black","Female","No","College +",8,"No","No","Low","Boston",0.00922433286905289,0.177731290459633,9.59376430511475
"Keisha","Black","Female","No","College +",10,"Yes","No","High","Boston",0.436394661664963,0.180402874946594,9.17378044128418
"Kenya","Black","Female","No","College +",8,"No","No","Low","Boston",0.436394661664963,0.180402874946594,9.17378044128418
"Kenya","Black","Female","No","College +",14,"No","Yes","High","Boston",0.34248149394989,0.194318026304245,9.65425682067871
"Lakisha","Black","Female","No","College +",26,"No","No","Low","Boston",0.00922433286905289,0.177731290459633,9.59376430511475
"Latoya","Black","Female","No","College +",8,"No","No","Low","Boston",0.586862146854401,0.180472582578659,9.40062999725342
"Latoya","Black","Female","No","College +",14,"No","Yes","High","Boston",0.0223919916898012,0.356164395809174,9.52098178863525
"Laurie","White","Female","No","College +",18,"No","Yes","High","Boston",0.436394661664963,0.180402874946594,9.17378044128418
"Matthew","White","Male","No","College +",8,"No","No","Low","Boston",0.0111534278839827,0.0296517945826054,10.8619174957275
"Rasheed","Black","Male","No","College +",14,"No","Yes","High","Boston",0.00333586055785418,0.190750569105148,10.003830909729
"Sarah","White","Female","No","College +",26,"No","No","Low","Boston",0.0111534278839827,0.0296517945826054,10.8619174957275
"Sarah","White","Female","No","College +",2,"No","Yes","High","Boston",0.0111534278839827,0.0296517945826054,10.8619174957275
"Tamika","Black","Female","No","College +",26,"No","No","Low","Boston",0.34248149394989,0.194318026304245,9.65425682067871
"Tanisha","Black","Female","No","College +",14,"No","Yes","High","Boston",0.144843429327011,0.0688580796122551,9.64380931854248
"Tanisha","Black","Female","No","College +",8,"No","Yes","High","Boston",0.30346342921257,0.189628824591637,9.33414936065674
"Tremayne","Black","Male","No","Highschool dropout",10,"No","No","Low","Boston",0.144843429327011,0.0688580796122551,9.64380931854248
"Lakisha","Black","Female","Yes","College +",8,"No","No","High","Chicago",0.454302966594696,0.248141512274742,9.291090965271
"Meredith","White","Female","Yes","College +",8,"No","Yes","High","Chicago",0.0164866279810667,0.238195523619652,9.44683456420898
"Anne","White","Female","No","Some college",9,"No","No","Low","Chicago",0.15995018184185,0.304798632860184,8.81031036376953
"Latonya","Black","Female","No","Some college",9,"No","Yes","High","Chicago",0.116623893380165,0.139842763543129,9.93372535705566
"Sarah","White","Female","No","College +",12,"No","No","High","Chicago",0.00279568345285952,0.236445277929306,9.62105846405029
"Tamika","Black","Female","No","College +",15,"No","No","Low","Chicago",0.832138895988464,0.217792436480522,9.2406759262085
"Jill","White","Female","No","College +",5,"Yes","No","High","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Keisha","Black","Female","No","College +",11,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Lakisha","Black","Female","No","Some college",3,"No","Yes","High","Chicago",0.217249035835266,0.197265401482582,9.42294883728027
"Meredith","White","Female","No","Highschool",6,"No","No","Low","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Jill","White","Female","Yes","College +",4,"Yes","No","High","Chicago",0.270733058452606,0.148723587393761,9.43843173980713
"Keisha","Black","Female","No","College +",5,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Lakisha","Black","Female","No","Some college",4,"No","Yes","High","Chicago",0.217249035835266,0.197265401482582,9.42294883728027
"Meredith","White","Female","No","Highschool",6,"No","No","Low","Chicago",0.104300543665886,0.101334653794765,10.5403289794922
"Carrie","White","Female","No","Some college",7,"No","No","Low","Chicago",0.989495635032654,0.257409632205963,8.69767951965332
"Greg","White","Male","No","College +",3,"No","Yes","High","Chicago",0.000904412940144539,0.127147987484932,10.074200630188
"Kenya","Black","Female","No","College +",3,"No","No","Low","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Tremayne","Black","Male","No","Highschool dropout",4,"No","Yes","High","Chicago",0.0498218461871147,0.0982826873660088,10.2019987106323
"Kenya","Black","Female","No","Highschool",4,"No","No","Low","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Neil","White","Male","No","Highschool",7,"No","No","Low","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Emily","White","Female","No","College +",11,"No","No","High","Chicago",0.0452748835086823,0.0308120734989643,11.0786600112915
"Jill","White","Female","No","College +",10,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Latonya","Black","Female","No","College +",12,"No","No","Low","Chicago",0.217249035835266,0.197265401482582,9.42294883728027
"Tanisha","Black","Female","No","College +",10,"No","Yes","High","Chicago",0.0452748835086823,0.0308120734989643,11.0786600112915
"Ebony","Black","Female","No","College +",5,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Kristen","White","Female","No","Some college",5,"No","No","High","Chicago",0.954597353935242,0.197444409132004,9.30446815490723
"Latonya","Black","Female","No","Some college",6,"No","Yes","High","Chicago",0.00341868889518082,0.213802114129066,9.55796432495117
"Laurie","White","Female","No","College +",5,"No","No","Low","Chicago",0.992042720317841,0.295093417167664,8.50734519958496
"Anne","White","Female","No","Some college",4,"No","No","Low","Chicago",0.217249035835266,0.197265401482582,9.42294883728027
"Emily","White","Female","No","College +",6,"No","Yes","High","Chicago",0.0452748835086823,0.0308120734989643,11.0786600112915
"Keisha","Black","Female","No","College +",25,"No","No","Low","Chicago",0.691106796264648,0.228157579898834,8.95995426177979
"Tanisha","Black","Female","No","College +",21,"No","No","High","Chicago",0.945290684700012,0.25186488032341,8.93406009674072
"Allison","White","Female","No","College +",6,"No","No","High","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Kristen","White","Female","No","Some college",6,"No","No","Low","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Latonya","Black","Female","No","Some college",4,"No","No","Low","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Tanisha","Black","Female","No","Some college",5,"No","Yes","High","Chicago",0.747554898262024,0.140018120408058,9.49001502990723
"Aisha","Black","Female","No","Some college",9,"No","No","Low","Chicago",0.109748370945454,0.29933825135231,9.02833843231201
"Allison","White","Female","No","College +",4,"No","No","Low","Chicago",0.832138895988464,0.217792436480522,9.2406759262085
"Anne","White","Female","No","Some college",5,"No","No","Low","Chicago",0.397594660520554,0.312872767448425,8.72826385498047
"Latonya","Black","Female","No","College +",5,"No","No","Low","Chicago",0.0164866279810667,0.238195523619652,9.44683456420898
"Latoya","Black","Female","No","College +",4,"No","No","High","Chicago",0.989495635032654,0.257409632205963,8.69767951965332
"Sarah","White","Female","No","College +",4,"Yes","No","High","Chicago",0.988519906997681,0.193837136030197,9.37245941162109
"Aisha","Black","Female","No","College +",5,"No","Yes","High","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Anne","White","Female","No","College +",7,"No","No","Low","Chicago",0.512182354927063,0.257437974214554,8.73327159881592
"Latoya","Black","Female","No","College +",9,"No","No","Low","Chicago",0.34535950422287,0.146098926663399,10.1849002838135
"Laurie","White","Female","No","College +",7,"No","Yes","High","Chicago",0.530870318412781,0.21617366373539,9.26662635803223
"Anne","White","Female","No","Some college",9,"No","No","Low","Chicago",0.454302966594696,0.248141512274742,9.291090965271
